Bucket label;RT;m/z;dummy;Name;Formula;S.aca_._H2O_1;S.aca_._H2O_2;S.aca_._H2O_3;S.aca_._H2O_4;S.aca_._H2O_5;S.aca_._H2O_6;S.aca_._H2O_7;S.aca_._H2O_8;S.aca_._H2O_9;S.aca_._H2O_10;S.aca_._Pinf_11;S.aca_._Pinf_12;S.aca_._Pinf_13;S.aca_._Pinf_14;S.aca_._Pinf_15;S.aca_._Pinf_16;S.aca_._Pinf_17;S.aca_._Pinf_18;S.aca_._Pinf_19;S.aca_._Pinf_20;S.bulb_._H2O_21;S.bulb_._H2O_22;S.bulb_._H2O_23;S.bulb_._H2O_24;S.bulb_._H2O_25;S.bulb_._H2O_26;S.bulb_._H2O_27;S.bulb_._H2O_28;S.bulb_._H2O_29;S.bulb_._H2O_30;S.bulb_._Pinf_31;S.bulb_._Pinf_32;S.bulb_._Pinf_33;S.bulb_._Pinf_34;S.bulb_._Pinf_35;S.bulb_._Pinf_36;S.bulb_._Pinf_37;S.bulb_._Pinf_38;S.bulb_._Pinf_39;S.bulb_._Pinf_40;S.sto_._H2O_41;S.sto_._H2O_42;S.sto_._H2O_43;S.sto_._H2O_44;S.sto_._H2O_45;S.sto_._H2O_46;S.sto_._H2O_47;S.sto_._H2O_48;S.sto_._H2O_49;S.sto_._H2O_50;S.sto_._Pinf_51;S.sto_._Pinf_52;S.sto_._Pinf_53;S.sto_._Pinf_54;S.sto_._Pinf_55;S.sto_._Pinf_56;S.sto_._Pinf_57;S.sto_._Pinf_58;S.sto_._Pinf_59;S.sto_._Pinf_60;S.tub_._H2O_61;S.tub_._H2O_62;S.tub_._H2O_63;S.tub_._H2O_64;S.tub_._H2O_65;S.tub_._H2O_66;S.tub_._H2O_67;S.tub_._H2O_68;S.tub_._H2O_69;S.tub_._H2O_70;S.tub_._Pinf_71;S.tub_._Pinf_72;S.tub_._Pinf_73;S.tub_._Pinf_74;S.tub_._Pinf_75;S.tub_._Pinf_76;S.tub_._Pinf_77;S.tub_._Pinf_78;S.tub_._Pinf_79;S.tub_._Pinf_80;;;;;;;;;;
311.91371_Da_23.63_s;0.39;312.9210;999;;;3737.9626205126515;4022.6754844467114;2904.7439186200795;3739.881286953851;4356.7992683422535;4362.189880314241;3429.835071728874;3102.30629308144;3267.1403505834687;4635.3118673979625;2981.6429174514515;3242.4302894316293;3692.9338003021567;2938.425880076735;2587.1507374131206;2327.9634769185295;3458.9927638664517;3275.755759436031;2808.4921392965457;3010.3268528984336;2970.0833092090447;3631.365186319551;4362.536132128645;2931.0459353227952;2897.870746403817;4219.110725382306;3812.4207465023837;2890.142798802069;3025.999887232883;3740.117269597505;2374.895885621311;2605.7062033802285;2681.2804166666665;2636.6865748443424;2276.170457316011;3245.895803033451;2664.1701765024004;2954.320596933746;0.0;2791.4469715739224;5030.14989300578;4943.862719298245;5244.694425153103;4213.157362057436;5231.236656596174;5137.901898891074;5781.766348693619;4677.614744515508;5964.28660436137;4968.360545488511;4564.542100694445;4073.117559229344;4598.687054026504;4648.695895988856;4639.52839906357;5088.849837378034;5097.214103201687;5064.676349138545;5726.355575997735;4953.563020295837;2127.5797396257117;4017.808882387925;4276.449348212192;2841.2147035385474;2795.703821656051;4362.300396770152;4126.006823852931;3672.0;3466.131624223073;4477.309470964322;4469.058809123986;3920.122066751847;3724.483328350459;4125.716346306593;4346.437000902135;5050.9717614693745;3150.911945418952;2034.5687763713079;3628.367958435643;3669.1239642799624;;;;;;;;;;
137.96612_Da_23.99_s;0.40;138.9734;999;;;455.74472705735246;626.9239227434982;480.7001958678208;832.6104200261077;536.3400514870267;591.9869944990246;394.4258159761224;453.4139966811335;597.6874550051065;416.27800750904026;421.2732025719296;435.6130042454277;544.785881060294;501.11036416402965;418.8825224614341;379.09496986517337;526.3446755519656;407.96154754275307;438.6143897932862;411.5968351364443;966.3228794750555;975.8879019908117;1075.0852789970793;1062.9429308861486;1108.6422277175996;893.9367829060423;1338.3196985080278;1266.9270691532806;923.9321141955006;877.8902647848735;927.4474927734409;1224.2644131810027;1149.4179166666665;936.8937067974821;1193.5739611995402;1107.8603781425306;1117.8858060604073;1013.5099092361561;1148.6768916497833;951.605239251441;838.1757064145985;870.9622807017544;0.0;1238.6800166272071;824.4592145015106;926.3483448743162;716.5670687595687;889.9094972835431;853.4641744548286;960.7632083963113;1077.9049479166667;995.4689956646099;882.3567787971457;860.525520591492;1007.0657302359086;834.042098240347;826.3040145422118;1076.359461768475;873.1024271157656;818.6968008255933;775.3303498779495;779.7308601096233;687.5005194195905;755.231692636362;929.8303821656051;728.7474592788528;830.0580876237036;835.0;743.8223723979727;825.0226256335508;577.8268961656871;684.932157437128;744.8966656700918;857.3722001588562;628.9895085034582;567.1820373816652;913.7644641714961;854.7721518987341;852.7127504359275;743.5998138835699;;;;;;;;;;
113.98182_Da_24.03_s;0.40;114.9891;999;;;944.6539765062024;931.5778620601735;1100.063909774436;1617.7857636489289;1231.2693584445499;1362.255786569184;1074.7581758079527;1380.9932027061527;1631.9371494583872;1375.9675761717738;1041.0410469571993;1320.4847213030073;1287.1682804559814;1132.2961845578711;932.5647736904559;731.4931108666021;1243.0926225094238;1063.770701925996;1201.3727472374246;1527.7382528661392;1828.0653607385248;926.0977029096478;2061.320534936549;1496.237520875858;1451.76643098464;1313.8161809376682;1041.7856515978042;1367.6173427715762;1768.425620689007;1953.8625786333566;1359.6560330950444;1954.8936266641488;1461.0008333333333;1893.863707312053;1534.4333182403955;1589.73460765981;999.5966502237007;1150.5603222626373;1883.612343653199;1672.2904712353202;1139.4806989165784;1094.7359649122807;1257.289759454511;1437.2918978511143;1016.6183282980867;1520.6298236625958;1532.6877302781004;1224.1845471425625;1587.3769470404984;1167.2720819251736;1543.5859375000002;1437.6397128928386;0.0;1722.2123441797335;0.0;1374.1629889083479;1070.515322483837;1399.2673002990177;1058.305972261534;1534.4972824217405;1647.3226200162733;1790.454374487647;1055.765456921685;1638.3566354126044;1818.2429299363057;1065.9628985103716;969.1369693266114;1212.0;884.9268874870189;1698.5126378904824;0.0;1208.7634080214405;1185.9000487797202;1235.4423510722797;1503.4913294797689;1108.056930172344;2172.8688775609094;1538.5898734177215;1604.766058147397;1538.402118863974;;;;;;;;;;
317.87043_Da_24.08_s;0.40;318.8777;999;;;970.3297357770392;879.7659676185621;776.5157010172491;1128.4555018044998;768.7173633222682;1049.1198087839857;1366.9254469013767;1056.2367245340822;781.6750322289006;1141.9518314099348;1146.6233032408911;1243.858819351402;931.0480016481254;825.2328124743807;1145.3130022037633;1096.7057297226283;925.7538368336027;0.0;969.0317914037718;0.0;810.4980861397922;1514.7285009358516;1257.2278262651796;1272.4600617419321;1259.2545017589077;1144.509972053948;1197.3261516752423;1186.1535529539885;1285.68331234612;1158.0181329872564;799.1355823654649;812.9017467661222;846.1716666666666;1127.6184971098266;617.1705966354358;977.2589514509315;855.7314606925711;1080.9298704830542;929.8294459420994;702.4264407115603;2298.683179160559;1992.0245614035086;1585.7246353936487;1598.2967956480093;1564.110775427996;1771.0232857921962;1963.7219670586653;2068.256997455471;1632.76220145379;1091.0736205696041;1884.434027777778;2337.1880767777798;1988.5626911314982;1512.0165017680465;1933.3320007203315;2049.8563922942208;1100.6235659286951;1999.9453225117472;1460.9223747523351;1713.4474028207774;780.4178193653376;1064.0295115168856;1897.9808317415636;1352.8018786347682;269.215923566879;1507.2851176388695;1391.8926176775137;1671.0;1120.773005564425;1044.7414449928776;0.0;902.7730063261555;0.0;842.9105003971406;574.6726252130042;0.0;1081.3929796677844;767.1843881856539;622.4687377673392;1012.4128921419497;;;;;;;;;;
349.87964_Da_24.50_s;0.41;350.8869;999;;;0.0;1353.3266828148905;1164.7735515258735;0.0;1319.3745003726035;0.0;874.4149042010333;692.0529423027828;1409.8456361231563;1107.0744848348531;969.2451126842891;0.0;1358.6156091196265;876.4100411549624;0.0;0.0;1178.5305936995155;914.623469491011;0.0;356.9972549652834;893.1166007269452;0.0;731.9020649370613;1146.3110038968268;804.0204102957055;1084.6884449150336;0.0;786.7119180506397;899.4894656718101;975.1731646208475;854.2871929794195;666.775904069493;783.6466666666666;1011.6221334110908;1062.2128800808052;1311.6436387561464;977.2176207410805;0.0;829.6604658171894;819.497514163487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;783.5433931368361;0.0;0.0;857.747355573637;951.1462234581196;948.9904158707818;650.4915308838739;995.0634713375797;1051.252157872755;858.7569044830337;751.0;955.4791450315421;1164.2943319972173;1602.673418695774;1547.176633737418;1589.0446727824897;1383.158284352661;1467.6421865080692;1287.9977991746905;1511.1773690229295;1282.1582278481012;1750.5486993345432;1078.7433919719394;;;;;;;;;;
235.89834_Da_25.20_s;0.42;236.9056;999;;;1621.852127274522;2368.8398138704747;2298.732987932015;3435.29816478538;2789.629056296999;3058.2185275663896;1797.8721717641772;2677.9439941281594;2720.621038356577;1787.7452808969324;1817.0706306423328;1685.769842935318;2576.569289932702;1722.966698912919;1635.8464824546534;2065.2666808992826;2852.7662560581584;1818.2802307147435;2128.469829539513;1897.3354109478441;1212.0868152722828;870.7752594861324;1233.904695212557;1930.6290591946556;0.0;1694.190796896426;1369.6515978042023;1460.5622107269262;1109.6962429755483;1830.7938499251968;0.0;884.1227457275045;1239.0370833333332;1236.9227629028662;1572.935704085542;1721.4619087194403;1053.9457218243497;1528.5542033518036;894.9880615508264;1322.1512974249706;0.0;548.4649122807017;0.0;678.1009199183098;0.0;0.0;0.0;0.0;0.0;823.8268430616646;0.0;0.0;0.0;0.0;925.0952638213579;0.0;855.2971378594824;760.3958778299873;0.0;0.0;1894.5736371033358;2081.024319675952;1842.4142287456855;2674.7329727530137;1865.873439490446;1786.7891897535847;2273.829335777699;2137.0;2184.096315699738;2909.1202504389303;2477.375944584383;2791.402505531491;3405.241900206134;2815.8995393169184;2639.800527916068;1977.2449874585323;3550.4475800980754;2670.8991561181433;3695.4742535852815;2201.707117163872;;;;;;;;;;
309.83073_Da_25.49_s;0.42;310.8380;999;;;1542.6852028561086;2093.2005354411017;1922.8007834712832;2646.3779467096674;2398.662488991261;2315.3777043533278;2081.691806540646;1619.6321483278018;1638.4692527917764;1823.7477031679846;1306.0525102292654;1376.1172254596522;1929.077873918418;1319.9460230533375;1017.4436006102729;1231.2577471959012;1431.3073505654281;1766.7367018585355;997.3660543103148;1593.8877442273533;924.490720190421;0.0;814.0883362653503;1274.653958400108;903.6736442478492;1155.797052646196;972.4078745848464;896.2540838551593;817.6065931174469;1145.1252185511635;575.1525106883838;0.0;685.6908333333333;875.549475995266;1011.2538399916408;889.4407507445113;595.7084514659368;863.1965530135636;432.2509251042312;1012.8258923409807;0.0;0.0;0.0;172.7570801178363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;444.5102448326108;0.0;0.0;514.0719250855394;0.0;703.6408005076055;493.04207603588213;0.0;0.0;1090.753458096013;1638.8981081124523;1502.4773633591367;1707.8159005747807;902.9087898089173;1455.23172769038;1396.3078202712568;1361.0;1203.4199358308663;2196.1111405571933;1691.3948712566473;1829.8631306678303;1680.1103365800695;2209.5411278792694;1751.1763172842395;1516.3438142244518;1594.3614443819897;1106.9827004219408;2185.5826127184087;1714.1197587644733;;;;;;;;;;
215.23557_Da_25.50_s;0.42;216.2428;999;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11067.743542732156;14534.312336225967;15343.288356761004;9294.443192361545;17168.66681759604;12483.511135026298;13592.449312522587;12545.344200925674;12866.610182870674;11969.31292921646;8869.279421182906;10139.168765933338;8654.502083333333;9648.889830363116;8427.492807634704;9245.680310270795;8035.13725233124;9508.425026345312;12319.695762101703;8530.077663809192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
99.10617_Da_25.67_s;0.43;100.1134;999;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.31134090523817;103.58369599132907;0.0;0.0;0.0;0.0;10039.718228312264;13333.815313935682;13140.918410220498;8868.82724067545;14641.098429173486;11090.685389942893;11428.310268279673;10646.613326980669;11347.49957712331;11916.569188341535;7220.358818133038;8636.160098196582;7825.003749999999;10287.985180357113;7546.4676256487055;9165.743230140592;8456.07614021862;9070.747900873645;10348.979957470321;8278.750772178451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;266.5834011391375;213.2239885554466;211.37099963137965;212.78790756031808;156.35232484076434;324.76788946122787;140.18268235134357;178.0;181.42009082877382;208.94828899857552;259.3396305625525;155.0216273489358;200.54910229579394;239.65102462271645;198.7997928430619;207.30029937697225;229.38638962649972;172.0097046413502;210.57492615921143;188.51826267470787;;;;;;;;;;
170.17786_Da_25.68_s;0.43;171.1851;999;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1623.087780243816;2232.8138165730816;2378.959367367504;1605.9323537846453;2575.1301591724423;2119.713735224176;1947.0537419765622;2082.407636809148;2216.9482210987276;2018.3271508138214;1560.0027002232878;1769.4734397129637;1710.05875;1667.4477281693282;1358.9077357110514;1827.2940993143568;1456.7682525115126;2010.4411394771732;1789.9761231016528;1403.77883487769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;
